,category,headline,authors,link,short_description,date
10,TRAVEL,Jerusalem's Holy Sites In 60 Seconds (VIDEO),"Jon Vidar, Contributor
Storyteller, disruptor, traveler. SVP bringing digital to corp...",https://www.huffingtonpost.com/entry/jerusalems-holy-sites-in_us_5b9bd0cae4b03a1dcc7a7766,"Our most recent project involved us getting run out of the West Bank, half the team getting deported from Israel and hospitalization for food poisoning.",2012-06-07
11,TRAVEL,Life Lines Cut Path to Rides,"Michael Sean Comerford, Contributor
Journalist and writer",https://www.huffingtonpost.com/entry/life-lines-cut-path-to-ri_us_5b9da97be4b03a1dcc8b0063,"I need to sell my year in traveling carnivals to an agent or publisher, I could use these winter months to track down leads and write that book.",2013-11-27
12,TRAVEL,"Ryanair Pilots Accuse Budget Airline Of Neglecting Safety, Call For Inquiry",Ryan Grenoble,https://www.huffingtonpost.com/entry/ryanair-safety-pilots-inquiry_us_5b9d6dc4e4b03a1dcc87e348,The survey further determined 89 percent of the employees believed Ryanair lacked an open and transparent safety culture,2013-08-12
13,TRAVEL,"Loaded for Bear - A Day in the Death of a Grizzly: Canada's Northwest Territories on the Looney Front, Part 4","Mike Arkus, ContributorJournalist",https://www.huffingtonpost.com/entry/loaded-for-bear---a-day-i_b_7906656.html,,2015-10-31
14,WORLD NEWS,Dozens Killed In Botched Robbery Of Philippine Casino,"By Manolo Serapio Jr and Neil Jerome Morales, Reuters",https://www.huffingtonpost.com/entry/dead-philippines-robbery_us_5930e034e4b075bff0f1fe2b,Many of the dead suffocated in the chaos as guests and staff tried to flee choking smoke at the complex.,2017-06-02
15,TRAVEL,Michael Jackson Remembered Forever In Munich,"Rick Steves, Contributor
Contributor",https://www.huffingtonpost.com/entry/michael-jackson-in-munich_us_5b9c030ce4b03a1dcc7bbff7,"It is worth noting that though every country has its own leader, there was only one ""King of Pop.""",2012-07-23
16,TRAVEL,5 Epic Nude Runs That Will (Literally) Knock Your Socks Off,Suzy Strutner,https://www.huffingtonpost.com/entry/nude-runs_us_5b9db9a8e4b03a1dcc8c1013,"Bay to Breakers, California The oldest consecutively-run annual footrace in the world is one of contradictions: Some people",2013-12-23
17,TRAVEL,Virginia Woodruff Loves Austin,"Love Letters, Contributor
An anthology of reflections on places the world over",https://www.huffingtonpost.com/entry/austin-texas-love-letter_us_5b9c7633e4b03a1dcc7ee586,"To drink a beer anywhere is the god-given right of all Austinites. Take a sip at your video store, your dry cleaners or your barber shop.",2012-10-31
18,TRAVEL,10 Great Factory Tours And How To Fly There (PHOTOS),"George Hobica, Contributor
Syndicated travel writer and founder, Airfarewatchdog.com",https://www.huffingtonpost.com/entry/ten-great-american-factory-tours_us_5b9bc360e4b03a1dcc7a28e7,Who says America doesn't make stuff anymore?,2012-06-01
19,TRAVEL,The Best Hotel Coffee Bars Across The U.S. (PHOTOS),"Oyster.com, Contributor
The Hotel Tell-All",https://www.huffingtonpost.com/entry/the-best-hotel-coffee-bars_us_5b9c6ee0e4b03a1dcc7e97b2,We've found five of the best hotel coffee bars across the states so you can get that jolt you need without having to leave your hotel.,2012-10-29
20,TRAVEL,7 Unfinished Landmarks Around The World,,https://www.huffingtonpost.com/entry/unfinished-landmarks_us_5b9db09fe4b03a1dcc8b889a,"7) Ryugyong Hotel, North Korea Pyongyang's pyramid-shaped skyscraper has been under construction since 1987. In 1992, construction",2013-12-05
21,WORLD NEWS,Photos Show The World Mourning In Solidarity With Spain,Chris McGonigal,https://www.huffingtonpost.com/entry/world-solidarity-barcelona-spain-attack-photos_us_5996f363e4b0a2608a6bd62b,"From New York City to Moscow, communities pay tribute to Spain's attack victims.",2017-08-18
22,WORLD NEWS,On The Margins Of The Margins: Refugees With Intellectual Disabilities,"David Evangelista, Refugees Deeply",https://www.huffingtonpost.com/entry/on-the-margins-of-the-margins-refugees-with-intellectual-disabilities_us_598392b6e4b08b75dcc5fe15,Refugees with intellectual disabilities are a largely forgotten and highly vulnerable group on the margins of the global,2017-08-03
23,WORLD NEWS,The Gulf Crisis: Small States Battle It Out (Part 1 Of 4),"James M. Dorsey, ContributorS. Rajaratnam School of International Studies, Senior fellow",https://www.huffingtonpost.com/entry/the-gulf-crisis-small-states-battle-it-out-part-1_us_5977694ae4b0940189700cd9,"This is part 1 of a four-part series. Part 2 will be published on July 26, part 3 on July 27, and part 4 on July 28 By James",2017-07-25
24,TRAVEL,Where To See Flowers In Bloom This Spring,,https://www.huffingtonpost.com/entry/where-to-see-flowers_us_5b9de956e4b03a1dcc8e8f6a,"National Cherry Blossom Festival, Washington, D.C. The annual festival in D.C. showcases Washington at its finest. Japan",2014-03-09
25,TRAVEL,Turkey Anyone?,"Fly.com, Contributor
Fly.com",https://www.huffingtonpost.com/entry/christmas-travel-food_us_5b9ca806e4b03a1dcc809bf8,"What will be on the menu for those flying on Xmas day this year... sandwiches, crackers, peanuts or something a little more festive?",2012-12-25
26,TRAVEL,"Washington's Monuments in Minutes? Yes, You Can!","Kari Astrid Haugeto, Contributor
Entrepreneur,  storyteller, visual artist and traveler.",https://www.huffingtonpost.com/entry/washingtons-monuments-in_us_5b9d3a04e4b03a1dcc85b9cb,"Did I say ""all"" the monuments in one day""? Yeah, more or less.",2013-06-07
27,TRAVEL,10 Seafood Adventures Across The Globe (PHOTOS),"JustLuxe, Contributor
The Affluent Lifestyle Guide",https://www.huffingtonpost.com/entry/seafood-adventures-across_us_5b9b7cffe4b03a1dcc780282,"Whether it's a dozen Fanny Bay oysters or a three-pound lobster, seafood lovers are particular about their own particular favorites and think nothing of going great distances to enjoy them.",2012-03-27
28,TRAVEL,12 Life Lessons You Can Learn From Crossing the Street in Vietnam,"SmarterTravel, ContributorSmartertravel.com",https://www.huffingtonpost.com/entry/12-life-lessons-you-can-l_b_7072546.html,"The question, ""how did the tourist cross the road"" is not a joke, it's a real query from most visitors to Vietnam. To make it to the other side, you need to be brave, focused, and a risk-taker -- just like in life. Here are 12 life lessons that you can learn from crossing the street in Vietnam:",2015-04-15
29,WORLD NEWS,The Debt Of An Immigrant: What I Learned About Racism,"Yunus Emre Duyar, ContributorWriter, Translator",https://www.huffingtonpost.com/entry/the-debt-of-an-immigrant-what-i-learned-about-racism_us_59cf738ce4b0f58902e5cc64,"A month ago, it was the three-year anniversary of leaving my troubled home, Turkey, to settle in Amsterdam. As a gay man",2017-10-15
30,WORLD NEWS,North Korea Says It's Open To Talking Denuclearization With The U.S.,"Christine Kim, Reuters",https://www.huffingtonpost.com/entry/north-south-korea-summit-denuclearization_us_5a9e7884e4b089ec353e79ff,The regime also announced plans to hold a summit with South Korea in April.,2018-03-06
31,WORLD NEWS,At Least 5 Killed After Magnitude 6.4 Earthquake Strikes Taiwan,,https://www.huffingtonpost.com/entry/earthquake-strikes-taiwan_us_5a79dbbfe4b06505b4e85ca4,The quake struck about 14 miles northeast of the city of Hualien shortly before midnight.,2018-02-06
32,TRAVEL,XXXX Island: Beer Company Plans Australia's Men-Only Retreat,,https://www.huffingtonpost.com/entry/xxxx-island-australias-men-only-retreat_us_5b9b734de4b03a1dcc77a6ac,"It seems that niche travel is all the rage these days. Women-only hotel floors are a growing trend, and a fantasy resort",2012-03-14
33,WORLD NEWS,United Arab Emirates Reportedly Bans Expressions Of Sympathy For Qatar,,https://www.huffingtonpost.com/entry/uae-qatar-dispute_us_5937bcb2e4b0ce1e7408fe41,"Since the diplomatic row erupted, slogans against and in support of Qatar have been among the top topics discussed on Twitter in Arabic.",2017-06-07
34,TRAVEL,"Socotra: Yemen's Lost, Enchanted Island (PHOTOS)",,https://www.huffingtonpost.comhttp://www.vanityfair.com/politics/on-the-road/2012/06/socotra-yemen-trees-drugs-pirates,"Bored with the Caribbean, the South Pacific, and all those famous islands that everyone has already been to? Tired of tourists",2012-06-20
35,WORLD NEWS,Fasting Is One Of The Five Pillars Of Islam. But There Are Exceptions To The Rule,Antonia Blumberg,https://www.huffingtonpost.com/entry/ramadan-fasting-exceptions_us_594043fbe4b0d31854857be6,Not all Muslims are expected to fast during Ramadan.,2017-06-14
36,TRAVEL,5 Bars Founded Before the United States,"Clint Lanier and Derek Hembree, Contributor
Spirit writers and authors of Bucket List Bars: Historic Saloo...",https://www.huffingtonpost.com/entry/5-bars-founded-before-the_us_5b9d4467e4b03a1dcc861b9b,As we approach our Independence Day we thought it would be fun to visit some of the watering holes around the country that have been here longer than we've actually been a country!,2013-06-22
37,TRAVEL,"How To Pick The Right Seat For 40,000 Feet","Fly.com, Contributor
Fly.com",https://www.huffingtonpost.com/entry/how-to-pick-the-right-sea_us_5b9c6faee4b03a1dcc7ea10a,Have you ever experienced this scenario? You are nearly finished with the online booking for your next flight when the airline's reservation system prompts you to select a seat. You are stumped. Which seat do you pick? How do you know if 8A is better than 14C? What if you end up in one of those seats that don't recline?,2012-10-29
38,WORLD NEWS,Lebanon's Ex-PM Visits France Amid Saudi Kidnapping Rumors,"John Irish and Marine Pennetier, Reuters",https://www.huffingtonpost.com/entry/lebanon-saad-hariri-visits-france-macron-saudi-arabia_us_5a1074d4e4b0dd63b1aac963,"After announcing his resignation in Saudi Arabia, Saad al-Hariri says he will return to Beirut and clarify his position.",2017-11-18
39,TRAVEL,Five Ways To Stay In Paris (PHOTOS),"Oyster.com, Contributor
The Hotel Tell-All",https://www.huffingtonpost.com/entry/five-ways-to-stay-in-paris_us_5b9c5ec8e4b03a1dcc7e2a45,"We've found just the spot to stay for almost every kind of traveler, so whether you plan on bringing the kids along or hope to taste some of the finest French cuisine around, Oyster has a hotel for you.",2012-10-19
40,WORLD NEWS,Mexico Celebrates Day Of The Dead With Tribute To Earthquake Victims,Nina Golgowski,https://www.huffingtonpost.com/entry/day-of-the-dead-tribute-to-victims_us_59f6209ce4b07fdc5fbec60a,"“The parade could be a distraction, a way of escaping,” one parade-goer said.",2017-10-29
41,TRAVEL,Exploding Headphones On Flight Burn Woman's Face,Ron Dicker,https://www.huffingtonpost.com/entry/exploding-headphones-on-flight-burn-womans-face_us_58c90d42e4b01c029d778241,"""I continued to feel burning.""",2017-03-15
42,WORLD NEWS,Death Toll Mounts In Rio De Janeiro As Police Lose Control,"The Conversation Global, ContributorThe Conversation is a collaboration between editors and academ...",https://www.huffingtonpost.com/entry/death-toll-mounts-in-rio-de-janeiro-as-police-lose_us_596cdd44e4b06a2c8edb4859,"Silvia Ramos, Universidade Candido Mendes On June 30, a baby was shot in his mother’s belly in Rio de Janeiro. After the",2017-07-17
43,TRAVEL,9 Gifts For Frequent Fliers,"Travelzoo, Contributor
A global Internet media company and trusted publisher of trave...",https://www.huffingtonpost.com/entry/9-gifts-for-frequent-flie_us_5b9c94bbe4b03a1dcc8001af,--Travelzoo Local Deals: This is especially appropriate for business travelers who often go to the same city. A Travelzoo,2012-12-08
44,TRAVEL,Tourism in Palestine,"Rick Steves, Contributor
Contributor",https://www.huffingtonpost.com/entry/tourism-in-palestine_us_5b9da856e4b03a1dcc8aefa0,"I'll continue this Holy Land series until November 21st. Then, to celebrate my homecoming, I'll give a live, free slideshow",2013-11-12
45,TRAVEL,Hidden Gems: Underground Art In Tasmania,"Peter Greenberg, Contributor
CBS News Travel Editor",https://www.huffingtonpost.com/entry/hidden-gems-underground-a_us_5b9c679ae4b03a1dcc7e6364,"Plenty of cities claim to have an underground art scene, but in Tasmania the art scene is literally underground.",2012-10-15
46,TRAVEL,You Can Stay Here! Dream Villas for Rent,"Conde Nast Traveler, Contributor
Conde Nast Traveler",https://www.huffingtonpost.com/entry/you-can-stay-here-dream-v_us_5b9d6ea3e4b03a1dcc87ebb5,Here's your next vacation rental: glamorous beach homes from Condé Nast Traveler's carefully vetted villa specialists. By,2013-08-13
47,TRAVEL,5 Lighthouses Worth a Climb This Summer,"MiniTime, Contributor
MiniTime is the first family travel site with personalized rec...",https://www.huffingtonpost.com/entry/5-lighthouses-worth-a-cli_us_5b9d07a8e4b03a1dcc83dfde,"There's no more thrilling way to discover lighthouses than to climb their towers, step-by-step, on the same staircases used by lighthouse keepers and their families a hundred years ago.",2013-04-12
48,TRAVEL,Never Use A Treadmill Again: Get Fit With These Original Fitness Features (PHOTOS),"Oyster.com, Contributor
The Hotel Tell-All",https://www.huffingtonpost.com/entry/never-use-a-treadmill-aga_us_5b9d2996e4b03a1dcc850b1d,Getting fit doesn't have to be on your to-do list after you travel. While many hotels offer state-of-the-art cardio and strength,2013-05-14
49,TRAVEL,Go Green: 8 Eco-Friendly Stays In Belize (PHOTOS),"Oyster.com, Contributor
The Hotel Tell-All",https://www.huffingtonpost.com/entry/go-green-ecofriendly-stay_us_5b9c70a7e4b03a1dcc7ea786,"Belize is best known for its lush rain forests, Mayan ruins and gorgeous barrier reef -- one of the world's best sites for snorkeling and scuba diving. Here's a look at some of our favorite eco-friendly stays in the country.",2012-10-30
50,TRAVEL,Beautiful Sunsets Around The World (PHOTOS),,https://www.huffingtonpost.com/entry/beautiful-sunset-photos-around-the-world_us_5b9d1a53e4b03a1dcc847ae5,"Sunset over Gulf St Vincent by kasand kasand Lonsdale, Australia It's almost hard to believe reality can be this beautiful",2013-04-29
51,TRAVEL,"The 7 Biggest Travel Myths, Busted","Doug Lansky, ContributorTravel writer based in Stockholm",https://www.huffingtonpost.com/entry/7-biggest-travel-myths-bu_b_6148784.html,"As hunter-gatherers turned tourists, we may be hardwired to eat, seek comfort, maybe even shop, but how long do we look at a famous attraction before we're supposed to move on?",2014-11-13
52,TRAVEL,Buildings Shaped Like Animals (PHOTOS),"Travel + Leisure, Contributor
TravelandLeisure.com",https://www.huffingtonpost.com/entry/buildings-shaped-like-ani_us_5b9d3d01e4b03a1dcc85cdca,Even serious tastemakers like Pritzker Prize-winning architect Frank Gehry have been inspired to inject a playful animalistic,2013-06-07
53,TRAVEL,Airline Fees: Dozens Of New Charges Added In 2012,,https://www.huffingtonpost.com/entry/airline-fees-dozens-of-new-charges_us_5b9cc6cce4b03a1dcc81c23b,"The only good news, TravelNerd reports, is that the increases are generally modest. ""The majority of fee increases were within",2013-02-01
54,TRAVEL,I Saved $25K In College To Take A Year Long Trip Around The Globe,"Pauline Paquin, ContributorOwner and Founder, ReachFinancialIndependence.com",https://www.huffingtonpost.com/entry/i-saved-25k-in-college-to-take-a-year-long-trip-around_us_57d4557ee4b0f831f7071fe5,"This post appeared first on CentSai During my last year of college, I had one goal: to save enough money to pay for a year",2016-09-10
55,TRAVEL,6 Reasons Why Long Distance Train Travel Is Worth It,Ethan Klapper,https://www.huffingtonpost.com/entry/long-distance-train-travel_n_6193264.html,,2014-11-23
56,TRAVEL,"This Airline Is Selling $0 Tickets To Dubai, Cape Town And Seychelles",Carla Herreria,https://www.huffingtonpost.com/entry/qatar-airways-golden-ticket_us_5876cc0be4b03c8a02d564dc,"The ""Treasure Hunt"" lasts only an hour, so GET ON IT NOW!",2017-01-12
57,TRAVEL,Common Travel Misconceptions And How To Overcome Them,"Kay Rodriguez, Contributor
Editor-In-Chief of The Kay Days",https://www.huffingtonpost.com/entry/common-travel-misconceptions_us_5b9c6affe4b03a1dcc7e7c5a,"After speaking with many of my fellow students, colleagues and friends, I've learned a lot about peoples' preconceived fears and stereotypes regarding traveling. The truth is, travel is neither difficult nor scary, even for young people. Here are some of the main concerns I've heard, and what you can do to overcome them!",2012-10-24
58,WORLD NEWS,2 Dead And 20 Injured After Van Drives Into Pedestrians Outside German Pub,Sara Boboltz,https://www.huffingtonpost.com/entry/vehicle-drives-into-pedestrians-in-muenster-germany_us_5ac8e10fe4b09d0a11943c3d,"The driver is also dead after fatally shooting himself, police said.",2018-04-07
59,TRAVEL,6 East Coast Beaches For Family Getaways (PHOTOS),"offMetro, Contributor
Get out of town, Car Optional",https://www.huffingtonpost.com/entry/6-east-coast-beaches-for_us_5b9bae09e4b03a1dcc798d12,"If you feel like ditching the car and the same old beach retreats, consider staying at one of these delightful ocean-perched properties.",2012-05-09
60,WORLD NEWS,"Police Helicopter Strafes Supreme Court, Government Ministry In Venezuela","By Silene Ramírez and Eyanir Chinea, Reuters",https://www.huffingtonpost.com/entry/venezuela-supreme-court-attacked_us_5952fc3ae4b05c37bb7a592c,There were no reports of injuries.,2017-06-28
61,TRAVEL,Tel Aviv: An Essential Europop Pitstop,"Off Track Planet, ContributorThe Independent Travel Lifestyles Guide for the Young, Sexy an...",https://www.huffingtonpost.com/entry/tel-aviv-an-essential-eur_b_4948248.html,"'The city that never sleeps' has been coined for more than a few of the world's greatest urban playgrounds. Add Tel Aviv to the list. Despite what you may have heard, Israel isn't all conflict and camels.",2014-04-27
62,TRAVEL,Epic 'Do-Not-Disturb' Signs Show Privacy Is Needed No Matter Where You Are,Suzy Strutner,https://www.huffingtonpost.com/entry/do-not-disturb-signs_us_5b9def85e4b03a1dcc8f13d9,"You probably don't notice them often, but Edoardo Flores does. The Italian traveler has been saving ""do not disturb"" signs",2014-03-21
63,WORLD NEWS,"More Than 70,000 Rohingya Flee Myanmar After Fresh Violence",,https://www.huffingtonpost.com/entry/rohingya-flee-myanmar_us_59ac210ce4b0b5e530ff499f,"Myanmar's leader, Nobel Peace Prize Winner Aung San Suu Kyi, is facing fierce criticism for not speaking out for the minority.",2017-09-03
64,TRAVEL,Five Things Most Chicago Visitors Never Do,"WHERE, Contributor
Local guides. Worldwide.",https://www.huffingtonpost.com/entry/five-things-most-chicago_us_5b9d5871e4b03a1dcc86e543,"Sure, the guidebooks can point out some of the best things to do in Chicago, but there's a whole hidden side to the city beyond the touristy lure of Millennium Park and Navy Pier. So here you have it: secret Chicago restaurants, tours and attractions with locals-only flavor.",2013-07-18
65,TRAVEL,New 'Introvert Retreat' Offers Group Trip Without The Hustle,Suzy Strutner,https://www.huffingtonpost.com/entry/introvert-travel-retreat_n_6707644.html,,2015-02-26
66,TRAVEL,'Tis The Season For Fabulous Family Vacation Freebies,"MiniTime, Contributor
MiniTime is the first family travel site with personalized rec...",https://www.huffingtonpost.com/entry/tis-the-season-for-fabulo_us_5b9c959ce4b03a1dcc800dbd,"Cheap is good, but free is better -- especially when it comes to family vacation deals. Truth is, if you know where to look, you'll discover that there really is such a thing as a free lunch -- and deals that let you stay free, ski free and even cruise free.",2012-12-15
67,WORLD NEWS,Tens Of Thousands In Hungary Protest Far-Right Leader Viktor Orbán,Nick Robins-Early,https://www.huffingtonpost.com/entry/viktor-orban-hungary-election-protests_us_5ad0dbd0e4b016a07e9c11f7,There is widespread concern that Hungary is drifting away from democracy.,2018-04-14
68,TRAVEL,"The Best Time To Buy Holiday Flights For 2016, According To Experts",Suzy Strutner,https://www.huffingtonpost.com/entry/when-to-buy-holiday-flights-2016_us_57f54d79e4b002a731204af0,Remember these dates. 👍,2016-10-05
69,TRAVEL,Woman Strips Naked At Denver Airport,,https://www.huffingtonpost.com/entry/woman-strips-naked-at-den_us_5b9b8f1ee4b03a1dcc789951,"Passengers stripping at airports has happened in the past, though mostly in protest of the TSA. Tammy Banovac, a 52-year",2012-04-10
70,TRAVEL,16 Tips That Will Help You Make The Most Of Your Vacation,"Booking.com, ContributorA HuffPost Brand Forum partner; the global leader in connectin...",https://www.huffingtonpost.com/entry/make-the-most-of-vacation_us_59bfdabde4b06b71800c3b9c,It’s no surprise that the first 24 hours of a vacation can make or break a trip. Research* from Booking.com reveals that,2017-09-18
71,TRAVEL,"Rick Steves' European Christmas: Samichlaus, Schmutzli and Fondue in Switzerland","Rick Steves, Contributor
Contributor",https://www.huffingtonpost.com/entry/rick-steves-european-christmas_us_5b9dbb9ee4b03a1dcc8c3063,I am well-connected in the fairy-tale village of Gimmelwald. (We've been taking our tour groups here for 30 years.) My key,2013-12-20
72,WORLD NEWS,'Ghost Ship' Found With Skeletal Remains Eyed As North Korean Vessel,Nina Golgowski,https://www.huffingtonpost.com/entry/japan-finds-ghost-ship-with-skeletons_us_5a1d7bf3e4b071403b293989,The grim discovery off the coast of Japan is similar to others made this month.,2017-11-28
73,WORLD NEWS,How Do You Measure Commitment To The Iran Nuclear Deal?,"Arvand Mirsafian, ContributorPolicy intern at the National Iranian American Council",https://www.huffingtonpost.com/entry/how-do-you-measure-commitment-to-the-iran-nuclear-deal_us_595ad0f0e4b02734df33d923,"While Iran’s targets are technical and verifiable, the targets for U.S. compliance are not.",2017-07-03
74,WORLD NEWS,The Philippines' Most Active Volcano Is On The Verge Of Eruption,,https://www.huffingtonpost.com/entry/philippines-volcano-verge-eruption_us_5a65c1f0e4b0dc592a0a654a,"It's been spewing ash, lava, and pyroclastic material for more than a week.",2018-01-22
75,WORLD NEWS,More Than 200 Demonstrators Arrested During May Day Rallies In Paris,"Antoine Boddaert and Lucien Libert, Reuters",https://www.huffingtonpost.com/entry/paris-may-day-protests_us_5ae958c9e4b00f70f0ed2edb,"Hundreds of masked and hooded anarchists smashed shop windows, torched cars and hurled cobblestones at riot police on Tuesday.",2018-05-02
76,WORLD NEWS,The Gulf Crisis: Fighting It Out Down And Dirty,"James M. Dorsey, ContributorS. Rajaratnam School of International Studies, Senior fellow",https://www.huffingtonpost.com/entry/the-gulf-crisis-fighting-it-out-down-and-dirty_us_59ac3220e4b0d0c16bb52602,"In the three-month-old Gulf crisis, nothing is too expensive or too down and dirty when it comes to buying influence, garnering",2017-09-03
77,TRAVEL,See Italy With Great Tour Guides,"Kathy McCabe, Contributor
Founder and Publisher, Dream of Italy Travel Newsletter",https://www.huffingtonpost.com/entry/see-italy-with-great-tour_us_5b9d62a5e4b03a1dcc875cd6,"Italy is so incredibly rich in history, culture, art and gastronomy that it is challenging to take in its many layers without consulting an expert.",2013-07-31
78,WORLD NEWS,"New Earthquake Spreads Alarm, Sends Mexicans Into Streets","Julia Love and Noe Torres, Reuters",https://www.huffingtonpost.com/entry/mexico-earthquake_us_59c66debe4b06ddf45f8410f,At least 384 people in Mexico have died from earthquakes this month.,2017-09-23
79,TRAVEL,Europe's Most Beautiful Villages,"Travel + Leisure, Contributor
TravelandLeisure.com",https://www.huffingtonpost.com/entry/europes-most-beautiful-vi_us_5b9d91ebe4b03a1dcc89a218,"The notion of postcard-perfect villages steeped in old-world charm has inspired centuries of travelers to fan out across Europe, seeking its secluded hamlets.",2013-10-04
80,TRAVEL,The Titanic Road Show Goes On,"Sharon Hoge, Contributor
Sharon King Hoge is a travel writer with a wide range of media...",https://www.huffingtonpost.com/entry/the-titanic-road-show-goe_us_5b9bb5cae4b03a1dcc79c5dd,"Visitors learn the fate of the passenger they are assigned. I studied the face of Katherine Buckley, a 22-year-old Irish lass who didn't make it to America alive.",2012-05-15
81,TRAVEL,Mario Batali Loves Traverse City,"Love Letters, Contributor
An anthology of reflections on places the world over",https://www.huffingtonpost.com/entry/mario-batali-traverse-city_us_5b9c2ba1e4b03a1dcc7cd193,"Your summers boast a roster of festivals celebrating the bounty of your surroundings: cherries and filmmakers, local trout and whitefish, winemakers, craft ale brewers and even a couple of cider pubs.",2012-08-22
82,TRAVEL,"What To Do If You Only Have One, Three Or Five Hours In Florence","Silvia Paoli, La Dolce Vita",https://www.huffingtonpost.com/entry/what-to-do-if-you-only-have-one-three-or-five-hours-in-florence_us_56df5478e4b0b25c917ffb1c,Make the most out of a short period of time.,2016-03-08
83,WORLD NEWS,Germany's Far-Right Party Set To Enter Parliament For The First Time,Nick Robins-Early,https://www.huffingtonpost.com/entry/germany-afd-far-right_us_59bed231e4b0edff971cfccb,"The Alternative for Germany party, or AfD, shows how right wing populism is alive and well in Europe.",2017-09-18
84,TRAVEL,"Tourist Falls Asleep On Airport Baggage Conveyor Belt, Goes Through X-Ray Machine",,https://www.huffingtonpost.com/entry/tourist-falls-asleep-on-airport-baggage-belt_us_5b9c1e9de4b03a1dcc7c7230,"There was no security threat to the airport, reports The Guardian. ""There is a security system – a sort of roll-up blind",2012-08-09
85,TRAVEL,Is This The Only Way To Change the TSA? (VIDEO),"Christopher Elliott, Contributor
Author, How to Be the World's Smartest Traveler (and Save Time...",https://www.huffingtonpost.com/entry/is-this-the-only-way-to-c_us_5b9c7533e4b03a1dcc7ed8bd,"Here's a question everyone should be asking after last week's stunning verdict against Andrea Abbott, the Nashville mother who tried to stop TSA agents from patting down her teenage daughter: Where do travelers turn when they have a legitimate grievance against the agency charged with protecting America's transportation systems?",2012-10-29
86,WORLD NEWS,Here's How World Leaders Reacted To Trump's Transgender Military Ban,Carla Herreria,https://www.huffingtonpost.com/entry/world-leaders-react-trump-transgender-military_us_59791ad0e4b02a8434b3a093,"As the U.S. president insulted LGBTQ troops as too costly, other countries stood up for them.",2017-07-27
